#,smiles
1,CCC1=CC=C2N=C(C=CC2=C1)C1=NC=CC=C1 
2,ClC1=CC=C2N=C(C=CC2=C1)C1=CN=CC=C1
3,FC1=CC=C2N=C(C=CC2=C1)C1=CN=CC=C1 
4,C1=CC=C2N=C(C=CC2=C1)C1=CC=NC=C1 
5,CC1=CC=C2N=C(C=CC2=C1)C1=CC=NC=C1 
6,ClC1=CC=C2N=C(C=CC2=C1)C1=CC=NC=C1 
7,ClC1=C2N=C(C=CC2=CC=C1)C1=CC=NC=C1 
8,FC1=CC=C2N=C(\C=C\C3=NC=CC=C3)C=CC2=C1 
9,C(=C/C1=NC2=CC=CC=C2C=C1)\C1=CN=CC=C1 
10,ClC1=CC=C2N=C(\C=C\C3=CN=CC=C3)C=CC2=C1 
11,C(=C/C1=NC2=CC=CC=C2C=C1)\C1=CC=NC=C1 
12,ClC1=CC=C2N=C(\C=C\C3=CC=NC=C3)C=CC2=C1 

